Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,50,56,50,54,50,61,74,69,70,67,56,78,79,71,69,24,22,30,25,20,30,20,20,20,20,20,20,20,15,10,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,28,34,38,38,58,59,72,92,59,69,86,92,88,89,100,124,108,118,122,129,145,135,155,150,140,150,157,160,170,170,190,200,85,58,123,151,133,153,150,184,173,118,149,125,165,135,152,140,135,140,125,140,115,128,100,80,75,85,85,85,80,85,90,95
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,29800,39600,28900,23200,11000,37700,21000,24500,17000,21000,11000,24600,24500,14300,27500,22800,9000,17100,19100,20900,20250,31500,15750,28000,25000,30600,10400,34300,21300,22500,26500,24000,19200,24000,24500,14000,22700,19200,30600,25800,26600,24400,41600,23600,34300,26000,36000,27650,40500,33000,41800,34700,42100,41800,37300,36100,45600,39500,49700,42000,49700,36400,39800,44900
Burundi,222,207,192,84,256,217,240,205,268,234,356,405,313,344,459,264,339,270,367,441,295,695,320,700,300,508,479,609,588,600,500,544,590,388,659,434,396,292,357,504,446,261,454,338,337,285,287,209,250,300,235,210,235,185,160,240,200,205,205,265,230,175,165,215
Cameroon,168,147,221,235,312,343,392,358,376,369,330,350,379,479,428,370,327,344,413,458,425,415,327,250,333,330,346,248,255,166,230,290,212,25,17,76,49,78,43,104,149,75,88,99,90,93,90,90,90,90,90,90,50,50,50,50,50,50,50,50,50,25,50,25
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,386,361,365,428,433,555,1173,827,1090,1535,1947,2125,1900,1950,1950,1925,2000,1700,1700,1600,1700
Colombia,7260,7571,7180,7556,8428,8200,7600,8000,7900,8450,8000,7200,8600,7800,9000,8500,9300,11050,12600,12712,13500,14342,13300,13000,11000,12000,11000,13000,10700,13300,14500,17980,14950,11400,13000,12939,10779,12043,10868,9512,10500,11950,11712,11053,11532,11953,12164,12515,8664,8100,8525,7655,9927,12075,13300,14000,14600,13825,13870,14100,13400,11800,10700,11500
Congo (Brazzaville),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Kinshasa),104,106,130,158,117,103,163,180,175,218,183,200,226,237,191,161,205,179,243,265,265,305,325,167,200,10,180,220,240,300,295,200,300,118,300,165,99,195,55,44,73,88,45,55,58,54,100,115,100,105,100,90,80,70,70,70,70,75,70,75,75,70,75,75
Costa Rica,951,1073,952,1043,845,1001,1164,1313,1228,1403,1295,1551,1266,1539,1430,1276,1331,1449,1749,1522,2140,1782,2300,2070,2516,1514,2566,2375,2758,2453,2565,2530,2620,2475,2492,2595,2376,2455,2459,2688,2502,2338,2207,2106,1907,1751,1782,1867,1580,1475,1575,1775,1675,1450,1400,1625,1300,1525,1250,1466,1472,1215,1425,1440
Cote d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,700,750,630,475,600,460,450,450,500,500,475,460,475,500,450,365,400,262,223,372,344,383,300,385,400,396,408,436,450,475,480,450,335,285,284,285,366,300,280,328,313,285,239,224,154,125,100,70,127,120,120,170,125,150,150,150,150,100,110,90,100,100,100,100
Dominican Republic,550,649,625,755,758,709,576,706,602,795,853,768,767,853,883,1054,733,1062,664,1020,1105,812,1156,863,900,895,784,835,724,754,670,700,680,543,698,793,638,941,422,694,439,435,455,351,491,310,390,465,545,500,500,500,475,275,225,225,225,125,125,120,120,125,125,125
Ecuador,584,715,609,599,760,934,852,1065,925,541,1142,915,922,1202,798,996,1042,1065,1214,1179,1021,1247,1009,610,700,1164,1368,931,1197,1150,950,900,820,1200,1500,1050,860,490,722,712,555,505,410,387,398,475,500,475,360,400,400,400,315,135,120,100,70,95,140,155,88,90,113,120
Egypt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,1452,1930,1638,1904,2052,1810,1935,2393,1817,2468,2054,2680,2238,2370,3800,2030,2610,2800,3423,3322,2940,2886,2800,2400,2680,2300,2275,2538,1492,2787,2603,2357,2894,2361,2314,2325,2498,2040,1860,2612,1624,1610,1351,1343,1329,1387,1400,1650,1550,1300,1860,1200,1250,550,700,560,600,660,654,510,540,600,550,670
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,1687,2007,2073,2205,2416,2234,2426,2153,1988,2991,2589,2290,2580,2187,2488,2611,2782,3143,3142,3188,3264,3212,3350,3300,2587,2833,2700,3200,3400,3400,3500,3000,3500,3700,3800,3800,3800,3833,3867,3505,2768,3756,3693,3875,4068,4500,5000,5000,5500,6000,6125,6320,6500,6345,6475,6510,6943,7055,7350,7475,7600,8150,7300,8350
European Union,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,1500,1700,1929,1712,1660,2095,1726,1792,1716,1941,1965,2099,2133,2352,2386,2043,2213,2541,2827,2647,2702,2653,2530,2340,2703,2650,2843,3020,2977,3427,3237,3518,3553,3050,3473,3800,4114,4173,4273,4337,4537,3503,3775,3644,3802,3700,4040,4100,3970,4000,3950,4400,4000,3500,3125,3125,3400,3600,3520,3515,3810,3410,3150,3305
Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,2,2,0,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti,421,746,590,562,588,613,446,534,564,458,564,604,536,580,590,575,486,519,443,669,465,494,674,630,592,505,463,526,479,527,580,550,500,459,358,506,429,435,442,399,420,403,374,350,340,331,337,335,360,275,350,350,325,325,325,0,0,0,0,0,0,0,0,0
Honduras,291,315,405,390,479,461,431,495,514,443,545,586,759,689,983,847,691,1036,1132,1137,1265,1200,1500,1310,1400,1062,1535,1553,1635,1928,1685,2255,1981,2060,2295,2254,2279,2905,2494,3067,2821,3098,2496,2968,2575,3204,3460,3642,3225,3550,3975,5600,4725,4400,5100,5300,7510,7600,7100,5200,6500,4800,5700,6500
India,710,489,620,699,700,694,738,684,885,682,1013,789,1104,769,1125,885,1090,1132,1085,1189,1000,1300,1241,1134,1330,1098,1600,1080,1620,1200,1540,1580,1300,1475,1340,1710,1508,1655,1615,1985,1740,2350,2048,2073,1725,1570,1660,1540,1325,1575,1570,1690,1643,1703,1630,1725,1583,1583,1583,1450,1650,1583,1667,1420
Indonesia,125,131,126,155,141,153,172,207,183,186,168,174,170,191,202,226,229,242,260,229,215,231,247,297,350,400,500,405,410,415,435,435,450,490,430,375,550,450,485,460,455,495,550,650,950,1050,900,800,1300,1500,1375,1300,2000,1900,1270,1500,1300,1000,1200,1250,1300,1280,1350,1300
Iran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica,18,24,21,26,23,22,22,26,17,21,21,24,21,31,24,30,17,23,14,34,20,23,30,25,25,27,28,41,14,19,26,38,29,35,44,43,54,46,29,39,37,31,37,37,21,34,30,35,31,28,23,20,25,31,27,27,16,16,15,16,15,15,15,15
Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,566,525,635,724,730,859,923,652,803,913,999,1020,1266,1222,1102,1244,1687,1417,1239,1531,1568,1396,1522,2159,1619,1944,1749,2159,1959,1738,1453,1503,1215,1228,1582,1808,1136,1026,1146,1683,862,867,924,845,754,805,876,750,900,900,710,750,660,850,780,750,850,720,850,750,693,860,750,800
"Korea, South",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kosovo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,25,50,75,85,130,90,0,5,2,3,5,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar,37,36,41,33,45,28,36,41,45,33,50,40,38,45,43,45,42,51,28,54,60,58,52,48,54,45,38,46,20,20,20,20,20,20,23,47,31,33,64,33,21,9,25,27,25,30,30,30,30,25,25,25,25,25,25,25,25,25,30,25,25,25,25,25
Malawi,2,1,3,2,3,1,2,3,3,4,3,3,3,3,3,2,2,2,3,5,7,10,16,21,36,56,59,83,72,95,90,90,137,62,84,91,49,61,64,59,63,60,42,48,21,24,17,25,15,20,24,21,25,25,21,23,16,12,11,10,10,11,11,10
Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,2100,2350,2202,2900,2650,3000,2700,2900,2865,3082,3200,3400,3914,3500,4025,4126,3411,3271,3977,3540,3787,3815,4430,4420,4160,4726,5197,4617,5250,4900,4350,4470,3980,4000,3870,5200,5100,4800,4860,5993,4600,4000,4200,4200,3900,4000,4300,4100,4300,3950,3800,4100,4450,3750,2980,2125,3100,3800,3100,3150,3000,3200,3000,3545
Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia,10,12,12,12,12,12,12,12,10,10,7,4,3,2,2,1,0,1,2,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua,437,432,535,533,610,513,421,556,504,563,641,725,537,683,730,790,852,967,1004,1019,971,1004,1186,809,843,581,712,635,714,743,460,782,545,695,685,986,831,1083,1079,1514,1610,895,1200,1547,1130,1718,1300,1850,1650,1925,1740,2100,1925,2000,2100,2100,2600,2700,2900,2675,2550,2780,2500,2500
Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Macedonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama,67,84,73,76,72,72,84,86,75,86,74,89,83,72,75,66,78,105,104,105,142,119,138,150,237,207,195,171,163,182,182,192,172,202,190,209,211,218,192,167,170,160,140,172,90,150,150,150,100,100,125,100,100,95,120,85,95,75,75,75,75,75,85,75
Papua New Guinea,32,53,76,105,138,171,202,200,280,408,383,421,591,576,510,553,768,620,783,739,843,875,605,882,733,816,710,1050,1120,1063,934,800,1000,989,1099,949,1032,1009,1299,1326,988,1009,1031,755,950,1200,780,925,1000,1050,825,1350,775,815,760,700,1065,760,915,775,650,725,825,850
Paraguay,40,44,103,119,99,106,65,61,67,49,27,62,115,26,126,135,35,66,138,31,130,100,100,100,100,100,100,100,100,100,100,40,60,70,50,45,40,34,66,20,46,20,26,52,26,35,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,598,670,827,800,872,826,789,952,940,951,1114,947,1087,949,875,881,947,1050,1130,1265,1170,1100,1100,1270,1150,1250,1200,1020,1400,1400,1170,1150,1190,1022,1453,1811,1583,1820,1980,2571,2824,2550,2760,2870,3550,2420,4400,2800,4000,3300,4100,5200,4300,4250,2900,3500,4225,4375,4390,3925,3369,4200,3400,4200
Philippines,3,4,4,4,4,5,5,6,6,6,7,9,8,9,10,11,13,19,37,51,73,97,123,101,109,60,60,97,115,110,100,105,100,87,78,76,49,35,34,35,40,40,38,35,35,35,35,35,35,20,35,30,30,25,25,25,25,25,25,25,25,25,25,25
Russia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda,187,161,192,83,177,167,146,197,192,208,246,257,184,435,497,434,531,362,311,501,506,502,377,536,542,717,643,705,679,561,619,550,650,443,22,330,293,194,222,308,273,296,320,266,317,340,400,230,340,240,317,245,260,250,240,300,230,275,275,350,300,270,260,250
Saudi Arabia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,1,1,1,1,1,1,1,1,1,1,2,2,2,3,6,8,8,9,11,9,11,10,12,10,13,12,10,12,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania,308,200,300,340,352,507,563,418,610,400,606,606,749,331,624,640,537,577,571,475,819,737,801,625,600,642,503,638,759,613,553,640,792,626,475,754,572,427,493,623,628,449,478,379,570,460,590,490,650,400,600,365,610,450,600,600,550,600,700,650,700,740,600,750
Thailand,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,4,5,5,6,6,6,6,6,6,50,10,10,10,10,10,20,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,150,150,220,190,175,250,200,250,410,260,220,380,400,240,270,150,200,150,150,175,170,190,220,210,200,200,180,180,375,285,180,200,200,200,200,200,408,325,436,436,355,415,450,524,545,625,579,508,650,818,644,875,800,850,800,950,1100,1200,1050,1025,730,990,990,1000
Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,277,316,380,278,344,272,264,279,231,176,283,199,226,246,184,202,158,213,169,211,236,229,267,221,245,200,284,230,257,239,229,229,225,228,237,236,270,232,163,185,183,163,163,186,140,161,152,136,125,53,53,46,42,51,45,40,33,32,54,39,33,38,40,50
Uruguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela,902,714,874,872,786,907,898,687,898,973,936,965,846,1083,1060,923,656,1061,1011,1031,1109,1107,791,1025,1213,960,1169,1331,1127,1075,843,1350,750,920,920,1067,843,1380,1250,880,1027,1065,920,825,800,820,862,996,1000,725,625,700,730,700,460,500,530,575,585,550,480,500,500,500
Vietnam,3,2,2,2,2,3,3,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,50,67,67,90,117,166,250,266,383,335,500,400,480,450,650,800,900,1175,1050,1100,1100,1026,1064,1100,950,1100,900,880
Yemen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,65,65,50,70,70,75,188,186,189,198,192,193,171,189,200,150,150,150,145,135,140,135,130,0,0,0,0,0,0,0,0,0
Yemen (Sanaa),90,90,82,80,90,75,60,60,70,60,60,55,55,45,45,45,45,48,50,53,60,58,57,50,53,65,55,60,65,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,3,7,6,10,13,11,10,15,15,15,28,27,22,27,33,40,62,59,94,100,119,100,110,103,56,60,39,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe,0,0,0,1,1,1,2,2,7,11,15,21,27,33,49,77,77,71,77,68,94,82,117,147,180,188,200,250,175,225,208,201,78,12,106,131,174,130,149,125,109,121,110,92,120,66,45,31,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
